surface,bathrooms,bedrooms,price
240,2,3,96000
200,2,3,85000
200,2,2,33000
220,1,4,50000
230,2,2,100000
300,2,3,45000
200,2,6,68500
200,1,2,30000
200,2,4,85000
200,2,8,40000
300,3,5,50000
480,10,10,50000
224,2,4,27000
270,4,3,68000
280,2,3,60000
245,3,6,85000
200,3,3,90000
220,5,6,95000
230,3,4,98000
322,3,2,95000
250,4,4,83000
227,2,3,67000
250,5,5,70000
324,3,5,85000
208,7,7,100000
240,3,3,95000
300,1,3,52000
300,2,3,72000
718,1,4,25000
256,5,7,88000
200,5,5,98500
200,5,1,85000
200,5,1,85000
210,5,1,80000
330,2,5,65000
210,2,5,80000
278,1,7,77000
266,1,3,35000
200,2,3,19000
450,5,7,72000
200,3,4,99000
200,4,4,90000
480,6,6,80000
231,3,5,85000
208,1,1,42000
200,1,1,15000
264,1,2,62000
246,3,3,88000
220,3,6,55000
250,5,5,68000
560,2,3,35000
200,1,1,36000
200,3,6,80000
300,2,4,95000
391,2,4,70000
200,1,2,65000
350,1,3,35000
224,2,3,75900
203,2,3,38000
270,3,4,89000
220,2,3,38500
200,2,2,15000
213,3,3,99900
220,2,4,65000
570,3,4,88000
200,4,4,82000
275,3,2,65000
300,1,3,28000
500,2,4,99000
200,3,6,99000
360,4,6,98000
200,1,3,56900
532,2,3,100000
300,2,4,45000
260,3,3,98500
400,2,3,70000
200,4,3,92000
320,3,3,60000
400,3,3,45000
200,3,3,78000
200,3,5,85000
322,3,3,80000
200,3,6,78000
300,2,3,60000
240,4,3,75000
200,1,3,97000
240,2,2,53000
210,2,3,50000
200,1,2,17000
200,1,2,32000
300,1,2,60000
300,2,5,18000
200,1,2,27000
280,2,3,45000
230,4,3,65000
275,3,4,100000
300,2,5,65000
360,2,4,36000
350,2,2,40000
250,3,3,55000
200,5,1,68000
290,2,3,62000
283,1,3,38000
200,2,3,60000
400,1,4,63000
210,3,5,48000
300,4,8,90000
234,2,3,75000
200,4,6,79500
250,1,1,40000
200,2,3,62000
228,3,3,45000
392,3,3,59000
300,4,4,75000
600,1,2,55000
400,3,10,80000
200,1,2,30000
488,1,4,50000
240,1,2,45000
360,2,5,74000
241,3,7,95000
400,6,5,100000
300,2,3,95000
280,4,3,90000
506,1,2,45000
615,3,3,100000
200,1,3,77000
243,1,2,50000
662,1,4,34000
213,2,3,65000
213,2,3,65000
354,4,7,100000
350,5,10,88000
200,2,4,50000
672,1,1,36000
250,2,4,57000
200,1,4,31500
215,2,8,73000
340,5,1,100000
360,1,3,35000
225,3,5,60000
400,1,3,65000
200,1,6,65000
220,1,3,55000
240,1,3,60000
200,3,3,55000
200,3,3,50000
200,1,3,25000
228,3,3,45000
200,1,1,35000
220,2,3,90000
640,2,3,72000
300,4,3,60000
312,3,4,90000
330,3,3,85000
200,2,4,60000
200,1,2,39900
200,1,3,37000
400,2,4,60000
200,3,2,66000
241,1,2,34990
300,1,1,25500
220,2,2,30000
277,1,3,43000
300,2,4,45000
647,2,5,85000
200,3,3,65000
